Kepler_ID,period,transit_depth,transit_duration,flux_std,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
1865042,23.277074963613167,6.16772961379661e-05,7.65,0.0002250251733317,1865042,K01002.01,Kepler-746 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.4815917,132.98828,0.076,1.8069,135.2,1.17,1156.0,421.61,23.4,1,q1_q17_dr25_tce,5405.0,4.374,1.022,290.68225,37.35511,13.615,1
1865864,21.36798747125269,0.0054057572875524,10.0,0.0064464039436103,1865864,K04926.01,,CANDIDATE,CANDIDATE,0.523,0,0,0,0,69.089357,135.4461,0.051,6.207,475.1,1.47,332.0,2.87,8.6,1,q1_q17_dr25_tce,4848.0,4.581,0.698,290.87305,37.362179,15.572,1
1868404,21.17610303376268,3.194495463558513e-05,10.0,0.0001627821946534,1868404,K07625.01,,FALSE POSITIVE,FALSE POSITIVE,0.384,1,0,0,0,6.12601169,134.83637,0.422,1.733,40.2,0.83,1141.0,400.49,7.0,1,q1_q17_dr25_tce,5679.0,4.146,1.286,291.48425,37.397282,12.975,0
1870398,21.616551816991425,0.0001266456822389,7.65,0.0003944771843805,1870398,K04927.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,43.142257,132.3007,1.179,61.73,283.2,37.88,706.0,58.68,30.5,1,q1_q17_dr25_tce,6198.0,4.069,1.769,291.91556,37.322578,14.756,0
1871056,40.80698470984903,0.0003497136237185,0.5,0.0002111044045966,1871056,K01001.01,Kepler-264 b,CONFIRMED,CANDIDATE,0.976,0,0,0,0,40.8065333,155.71586,0.016,13.135,313.9,3.71,772.0,83.75,54.8,1,q1_q17_dr25_tce,6207.0,3.963,2.097,292.04462,37.37624,13.038,1
1871056,40.80698470984903,0.0003497136237185,0.5,0.0002111044045966,1871056,K01001.02,Kepler-264 c,CONFIRMED,CANDIDATE,0.991,0,0,0,0,140.10765,216.21749,0.019,18.503,266.8,3.42,511.0,16.17,29.0,2,q1_q17_dr25_tce,6207.0,3.963,2.097,292.04462,37.37624,13.038,1
1872821,390.5716507639696,0.0008304532967323,5.25,0.0005870940550932,1872821,K02351.01,Kepler-1828 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.27380957,134.65748,0.125,3.252,352.8,1.68,799.0,96.27,19.2,1,q1_q17_dr25_tce,5806.0,4.528,0.899,292.42758,37.320808,14.909,1
1873513,33.539367957447496,0.0021621005135365,10.0,0.0027202013602822,1873513,K04928.01,Kepler-1624 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.290304098,131.90944,0.09,1.7215,13552.6,4.91,540.0,20.06,220.5,1,q1_q17_dr25_tce,3386.0,4.81,0.427,292.57986,37.376411,15.669,1
1995519,52.588510122547305,0.0002756909604744,7.65,0.0008844143313548,1995519,K02634.01,Kepler-1299 b,CONFIRMED,CANDIDATE,0.952,0,0,0,0,19.9401211,142.34849,0.862,4.283,758.9,2.42,588.0,28.29,18.0,1,q1_q17_dr25_tce,5623.0,4.596,0.763,286.15015,37.411369,15.922,1
1995712,20.30980653734972,0.0001096080551774,5.25,0.0004445449775316,1995712,K07626.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,462.12069,307.6255,0.002,10.42,633.7,2.46,249.0,0.91,9.9,1,q1_q17_dr25_tce,6079.0,4.411,0.974,286.21048,37.465591,14.936,0
1995732,77.36842983704241,0.0651889778353947,0.5,0.007159137923773,1995732,K03351.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,77.36241476,139.095626,0.995,12.1317,96585.8,41.66,362.0,4.08,1246.3,1,q1_q17_dr25_tce,5359.0,4.57,0.79,286.216,37.42524,15.673,0
1996180,57.19652468708303,0.0002011557492841,2.9000000000000004,0.0003245753145273,1996180,K02534.01,Kepler-1271 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.02558494,134.36744,0.839,3.0008,128.3,1.62,1484.0,1148.47,23.8,1,q1_q17_dr25_tce,6123.0,4.263,1.263,286.3443,37.411968,13.925,1
